Country,Population_Growth_Rate,Exports of goods and services_Growth_Rate,Gross capital formation_Growth_Rate,Final consumption expenditure_Growth_Rate,Government_Expenditure_Growth_Rate,GDP_Growth_Rate
Algeria,1.408252884,23.306795,-3.105060881,-5.175705594,-4.76587549,0.940168697
Algeria,1.412169076,68.34282735,0.917469683,-9.144178353,-8.851050771,12.64317876
Algeria,1.385440295,-12.86205608,17.43449024,5.951375752,8.677891544,0.713111997
Algeria,1.358005204,0.333884101,16.34537568,5.373537837,8.672675326,3.201203079
Algeria,1.363450261,29.0910096,17.36206504,11.15060604,14.28564575,19.43821563
Algeria,1.417221918,31.67260116,37.85403738,19.01999709,16.98554395,25.74075266
Algeria,1.373428008,42.5311896,15.09350857,4.483286121,0.54527509,20.70427855
Algeria,1.451571745,17.25734608,8.0774698,7.697771425,11.23313556,13.59223301
Algeria,1.641231306,11.22061006,31.77279345,16.39686637,19.56817953,15.38461538
Algeria,1.723658139,29.12506946,37.26995625,26.85555166,43.69749183,26.66666667
Algeria,1.812127259,-40.83751411,0.710202437,-0.684117806,-1.906091222,-19.88304094
Algeria,1.876083378,27.69538373,3.838630787,12.76913269,25.35842562,17.51824818
Algeria,1.916528355,25.18078461,13.96755132,25.15347871,48.8574109,24.22360248
Algeria,1.962103235,-0.590705585,7.549573685,5.769230769,2.752415383,4.5
Algeria,1.986183086,-9.677546543,11.17710173,2.727272727,-5.470821593,0.4784689
Algeria,1.99876181,-7.246590029,7.016475129,6.194690265,5.38373352,1.904761905
Algeria,2.020078964,-40.47446157,-13.46462572,-13.33333333,-15.42942935,-22.42990654
Algeria,2.013433223,-13.14918203,-3.587394078,-2.884615385,-6.580197766,-3.614457831
Algeria,1.976277295,15.24910123,1.611700502,3.96039604,-3.580054646,6.25
Algeria,1.921554133,17.50005702,-0.29025804,-0.952380952,-6.354008916,2.941176471
Algeria,1.856466883,-13.74950187,-6.768260591,1.923076923,4.374450634,-1.714285714
Algeria,1.7475508,-34.73865044,-16.80148167,-8.467122667,-13.07318514,-15.11627907
Algeria,1.671519338,71.64769949,-2.913973418,4.097043209,3.985671914,11.64383562
Andorra,7.081887253,30.02664064,32.88852074,25.94266677,,26.85222039
Andorra,7.081887253,30.02664064,32.88852074,25.94266677,25.37569,26.85222039
Andorra,6.836895585,32.82533762,39.74934156,32.44272101,32.8211373,33.00056212
Andorra,6.600254171,22.40683366,37.24095763,25.44615608,28.76141511,23.67744847
Andorra,6.295427451,10.74882708,11.55058197,19.06671565,24.60627042,17.9868102
Andorra,5.984081042,4.852161084,-2.538897961,6.34149554,11.54274968,3.258018869
Andorra,5.649621083,17.84476273,3.681130679,11.10461875,13.7878066,11.75352518
Andorra,5.250573524,27.01292878,11.17847304,20.1293384,25.73343344,21.26878959
Andorra,4.813655062,31.92237514,30.25101705,35.50424839,39.23642149,33.61071771
Andorra,4.302618476,13.10601659,12.18477621,11.08231681,13.93493102,8.462980865
Andorra,3.863974615,-0.707033844,-18.81194028,-11.32781195,-6.863670831,-12.85783491
Andorra,4.355584395,0.757183838,-3.886467529,-3.543889247,-2.198818372,-3.359599086
Andorra,4.751541531,-2.0072969,-16.08661962,-13.01924797,-10.18340523,-12.78608925
Andorra,4.325781559,12.43591943,-4.568766302,-1.401296499,-0.900175201,0.678077057
Andorra,3.859557621,2.88891151,6.189589889,5.03144331,6.941875741,5.050360519
Andorra,4.099614235,21.23572827,45.07611362,37.28752822,37.22012512,39.00680569
Andorra,4.451266309,23.53377616,35.18529557,27.63691519,31.02629147,26.8267588
Andorra,4.238480109,15.2048995,29.16468219,16.61910217,16.8565329,18.01501597
Andorra,3.997663834,5.802714247,16.03959007,11.38019079,13.86171021,10.26624607
Andorra,3.737485234,22.5155784,30.13070271,29.11006725,32.73258954,29.35300464
Andorra,3.481491161,7.816414205,4.287123714,8.408242426,12.01990156,7.570680709
Andorra,3.33549807,12.27496552,1.116754211,11.51124279,15.03048971,9.314527364
Andorra,3.269730985,-8.946605345,-25.76923452,-16.27739537,-14.24717506,-16.76883858
Andorra,3.179728176,15.88512894,1.922815344,0.070093472,-2.174641354,1.038011763
Andorra,3.098120812,24.48823873,20.48292521,14.62137647,14.87633423,15.84212027
Andorra,1.937134503,9.575185754,2.493504333,2.984603442,3.095031844,3.841220859
Andorra,0.834021856,7.501324041,-1.875233665,-4.457396897,-6.194663639,-3.543839935
Andorra,0.779196685,4.379933478,8.626438516,1.740899374,1.75320761,2.651761507
Andorra,0.719479643,3.279041313,9.187135468,2.120854663,1.892866756,2.300938172
Andorra,0.673216054,-1.262595387,-4.97529819,-9.004477568,-9.411401005,-8.908482794
Andorra,2.606774891,5.588653389,7.511199301,7.538352367,7.255248264,8.248070066
Andorra,4.466234149,8.188302464,14.48195444,12.7554626,14.06246665,13.51592448
Andorra,4.316221824,29.8046766,38.61919272,33.41033429,35.72194179,34.49004437
Andorra,4.094334772,21.54875992,26.07137252,23.75541661,25.45291441,22.58632201
Andorra,3.760414906,7.287746573,13.39784638,9.148826968,10.1806529,9.146291866
Andorra,0.494826247,10.52861157,13.76645688,8.964356574,9.562392971,9.381198711
Andorra,-2.559180265,17.72274789,13.89399595,14.66929174,16.62919246,14.35464149
Andorra,-2.703152185,1.939469647,-3.374785059,4.671606901,9.899227453,3.374875689
Andorra,-2.896587996,-19.06594751,-26.35349217,-8.556398782,-1.395225747,-10.07389084
Andorra,-3.159020744,5.56006185,-10.22162532,-4.799970696,-6.226001242,-6.195131625
Andorra,-1.331114809,19.67925458,-3.003238707,5.733172546,5.357146486,5.159357128
Andorra,0.632023467,-6.297351376,-21.15396616,-11.63067081,-14.97279897,-12.01736977
Andorra,0.498500275,4.882570677,-6.536666321,-0.683889585,-0.236669264,0.118311469
Andorra,0.355906792,3.943410279,6.408553374,2.530023063,1.134398158,2.340765763
Andorra,0.174529817,-14.28291757,-9.432780475,-15.76440368,-15.31681117,-14.64731281
Andorra,1.106681906,4.573956098,2.463822647,2.861633156,1.580647322,3.796975016
Andorra,1.787979046,7.526525828,7.279080114,3.27466161,1.271998937,3.645144667
Andorra,1.592697428,7.319191388,13.17496406,7.026716852,7.567834294,7.274919159
Andorra,1.773026009,-2.630125313,-0.233620036,-2.714129261,-1.19288569,-1.965795474
Andorra,1.777504159,-19.15259408,-10.26613541,-6.071879745,7.040694218,-8.372159958
Andorra,1.716859717,30.43372182,17.49450923,14.30694138,11.85022372,15.0000121
Angola,3.038376416,2.383049727,2.726384898,2.405059729,,2.363329301
Angola,3.038376416,2.383049727,2.726384898,2.405059729,2.528694667,2.363329301
Angola,3.35440728,22.16899775,22.4159152,22.46747785,22.68661693,22.28394188
Angola,3.409184537,12.16683181,12.09249371,12.27352938,13.16963369,12.17405863
Angola,3.384332276,-26.85066568,-27.15008265,-26.64890386,-27.99043894,-26.29354673
Angola,3.328260374,-2.263623998,-3.680651646,-4.115218805,-4.145561124,-4.015165452
Angola,3.373089594,8.199749899,11.931071,9.731122663,11.39329297,9.12651366
Angola,3.457117012,10.80268995,10.31140832,12.31406851,12.83228611,11.53846156
Angola,3.495140634,11.51616809,9.957354131,10.79502768,15.05904701,11.03448276
Angola,3.56609755,26.93203069,24.10292217,28.504979,9.731948236,32.91925459
Angola,3.618346931,7.950223377,1.51711471,-4.68441762,5.227577635,-6.407893892
Angola,3.657493746,-12.90015535,13.4499933,3.866173206,13.23340348,0
Angola,3.683350858,4.566831672,-13.50202222,5.650690017,1.172466052,4.213301084
Angola,3.675819448,12.49542375,5.710843298,1.137531771,22.05607897,6.001261579
Angola,3.669473228,11.98019277,-5.701251623,28.72193361,8.356196598,23.2014373
Angola,3.63019515,-34.41642995,-4.374931572,1.892035341,8.348386099,-6.153359272
Angola,3.498479662,64.20675034,16.70765174,1.959246179,6.072774767,15.15192385
Angola,3.424369255,8.093923007,-14.71272813,12.93667205,7.899520255,7.961508002
Angola,3.428825052,19.87187641,-2.619936894,14.41922348,2.097556668,16.36871973
Angola,3.401722698,27.08465869,6.077054775,4.927716931,8.943613911,10.4695445
Angola,10.22629993,36.58720799,-5.808998658,1.095218171,43.99186269,-1.417951893
Angola,3.250132111,62.97263535,53.10623381,-7.631547876,-0.881090291,2.914895057
Angola,30.11512899,-26.24925416,102.6822068,-0.779816178,-47.3884983,10.27996448
Angola,3.472243512,10.89094388,16.37189811,24.54449315,33.1237634,16.53264105
Angola,3.568587483,42.10101304,34.14220001,14.09967951,-13.41052057,32.22049287
Angola,3.621700884,76.18891404,40.01897991,34.67819032,75.80708563,56.97522973
Angola,3.657305534,37.23086102,19.80058393,31.07190422,35.60654235,41.68185293
Angola,3.706633258,33.31181893,37.59258951,30.57619983,26.1847843,24.59934791
Angola,3.739119156,44.78542287,62.40578961,33.01133846,46.81306443,35.65731154
Angola,3.762539116,-35.6215897,10.38607683,8.135251906,-6.027178953,-20.59153669
Angola,3.805417654,24.8415517,-21.51370015,1.400216639,2.08185827,19.19047695
Angola,3.830332622,31.50880252,25.01362658,31.83157272,42.74391123,33.65238237
Angola,3.830235164,5.617856915,15.6023623,16.8162175,12.07795773,14.28571429
Angola,3.806173122,-3.150342495,4.66025816,18.63400771,29.37379962,7.03125
Angola,3.753145389,-6.12627494,12.11945451,12.47053626,-11.38935183,6.569343066
Angola,3.683911771,-46.91382835,-0.824529616,-11.65792252,-27.10225059,-20.54794521
Angola,3.651291194,-17.73755987,-30.75042743,-12.05161443,-26.48609207,-12.93103448
Angola,3.614787109,24.54371917,7.079448506,21.13260847,12.54603916,20.79207921
Angola,3.525168372,16.84869885,-38.54111485,-20.8927956,-32.79862815,-17.21311475
Angola,3.453575264,-18.06471522,-18.69469898,-28.16000177,-32.66187115,-17.6863925
Angola,3.322345577,-42.33846667,-20.9524715,-32.35632789,-25.07966604,-34.05914414
Angola,3.216681725,59.02126586,27.14712145,9.68090801,4.785876512,28.66080503
Argentina,1.607599832,11.92776893,-7.627468143,-6.193508318,,-5.769788902
Argentina,1.607599832,11.92776893,-7.627468143,-6.193508318,-13.71787854,-5.769788902
Argentina,1.656837497,15.70762726,0.623840949,12.29673149,38.63099365,12.60794494
Argentina,1.715251456,3.677098696,14.75337172,13.98312983,30.50272357,12.50434561
Argentina,1.673116369,-9.671805476,43.34060711,-1.294174628,3.068852284,6.439270502
Argentina,1.602666887,65.9804712,8.498077162,-1.077602204,-21.15404047,5.879103091
Argentina,1.610950399,17.98189433,13.08444589,14.67848726,8.237586642,12.56491149
Argentina,1.618419408,-6.571491893,-9.022075702,6.846627058,27.50693935,3.586058314
Argentina,1.613538082,-12.74200713,9.528845714,24.0394991,15.08621761,15.89586188
Argentina,1.597545169,-13.64507349,11.39779969,13.54596662,26.86161885,10.61751286
Argentina,1.59316731,41.46139538,-7.050342302,5.690885286,5.203856644,3.532635391
Argentina,1.585727515,35.0901756,-1.407554669,0.067683196,-0.417236729,2.821713417
Argentina,1.570994499,8.954428048,3.856560504,8.34955959,7.377404129,8.190206747
Argentina,1.549027735,-12.34252373,1.021403367,7.655706797,8.427356403,5.685555138
Argentina,1.524912832,48.42113073,-15.43267617,-4.329887874,1.290482345,-4.013625124
Argentina,1.522806136,-16.47286716,19.23427702,25.96006281,16.83668453,20.38114473
Argentina,1.522447108,-0.860628513,15.09496797,2.071739692,1.472791215,2.608695652
Argentina,1.519516007,41.17916336,11.15981296,13.87931159,10.15641555,16.94915254
Argentina,1.498776048,-17.26429758,-49.73500947,-39.81066604,-33.98690626,-39.82285605
Argentina,1.467059731,46.34781628,66.42321051,90.53026764,80.42554051,84.23866262
Argentina,1.434251239,-0.578285456,40.34194166,39.2,31.93716474,34.64052288
Argentina,1.397104184,3.67709851,37.61250449,22.4137931,17.72889557,20.38834951
Argentina,1.367228025,9.143339267,18.06905609,1.408450704,29.41168423,3.629032258
Argentina,1.356137024,18.49206627,13.88712558,9.722222222,6.236898394,8.560311284
Argentina,1.326272237,28.89883106,-9.897014865,-1.265822785,1.39108728,0.358422939
Argentina,1.26838724,13.63326145,6.329936377,4.273504274,-1.217977106,5.357142857
Argentina,1.205472424,8.991904486,15.29296786,8.196721311,3.841937441,7.796610169
Argentina,1.164910481,0.67510767,5.055903567,2.272727273,5.74164982,1.886792453
Argentina,1.158705436,-10.51764449,-14.29866355,-2.592592593,4.164468044,-5.24691358
Argentina,1.139722933,11.79658535,-9.895034449,-0.760456274,0.685532143,0.325732899
Argentina,1.105234544,-0.552503923,-17.21266698,-5.363984674,-2.904236071,-5.519480519
Argentina,1.079321449,-8.832652185,-67.98130497,-66.148873,-67.1933413,-61.8556701
Argentina,1.037708089,14.53398757,60.73594379,27.97162723,18.72788258,26.12612613
Argentina,1.020508716,21.64060589,49.61329231,16.82242991,14.98338764,18.57142857
Argentina,1.038835034,17.84428614,30.10414205,20.8,32.06801503,21.08433735
Argentina,1.040042973,15.73055473,15.54695813,17.21854305,19.59906957,16.41791045
Argentina,1.011377529,21.66643977,33.00822059,23.72881356,29.18902817,23.93162393
Argentina,0.997233657,22.83959206,22.88624475,27.85388128,32.44909175,26.20689655
Argentina,1.019445188,-18.43344035,-24.55134898,-5.357142857,7.310055561,-8.196721311
Argentina,1.02197804,22.72987324,39.8467778,27.9245283,20.89402399,26.78571429
Argentina,1.023395964,21.12635697,29.17297022,25.07374631,28.61380492,24.41314554
Argentina,1.039540721,-3.474141707,-1.633452476,11.79245283,16.35734714,9.622641509
Argentina,1.039045117,-5.044347511,10.47691166,7.172995781,6.425056739,5.507745267
Argentina,1.028079255,-8.882573553,-7.651705814,-8.070866142,-6.685150484,-7.504078303
Argentina,1.011139674,-15.48019256,12.37195643,16.05995717,21.73007147,13.75661376
Argentina,0.95054068,1.160919177,-10.47436035,-14.20664207,-15.87181292,-13.48837209
Argentina,0.884796344,4.321079209,18.8080161,16.77419355,15.81837292,15.41218638
Argentina,0.814852183,3.98849714,-25.47609018,-17.49539595,-27.23833784,-18.47826087
Argentina,0.747347727,5.929899903,-27.0284361,-17.41071429,-11.23942334,-14.66666667
Argentina,0.649253825,-20.20678104,-14.37605821,-15.94594595,-11.54775813,-13.83928571
Argentina,0.534567521,37.20397547,56.27844461,20.25723473,18.53403488,26.16580311
Armenia,-1.190723985,-42.11839134,-97.57328122,-11.92205033,,-40.4290648
Armenia,-1.190723985,-42.11839134,-97.57328122,-11.92205033,-42.43224023,-40.4290648
Armenia,-3.278897653,-16.26140624,463.8861315,-7.96877688,-6.861682416,-6.649340418
Armenia,-2.419078895,33.97578073,157.5635478,0.077845098,-41.2168932,7.576361465
Armenia,-1.509642344,-33.60258085,-14.25584632,21.30671317,8.144891047,9.132589579
Armenia,-0.718795275,20.55095655,34.77496806,17.90969486,24.80489878,24.11932714
Armenia,-0.833005446,-10.48749395,-2.213140539,5.476519737,2.474676836,2.611650375
Armenia,-0.943566368,8.235059797,15.89818854,11.83722894,13.77521037,15.46984684
Armenia,-1.065251269,6.540879147,-6.463213083,-5.127357161,5.091016381,-2.467724547
Armenia,-1.16988924,16.63967337,5.224675524,4.231563063,2.714756864,3.581041509
Armenia,-1.116924195,20.74354468,17.44427578,6.668438004,5.911521705,10.82019324
Armenia,-0.896738185,29.30081092,23.0145762,6.089172304,-0.7355176,12.17538416
Armenia,-0.67422707,29.37896457,32.25297172,11.3643791,20.73271087,18.12776154
Armenia,-0.595213777,17.83181895,30.67171524,26.25726425,26.98574009,27.4131447
Armenia,-0.603409612,32.74946343,67.78947165,27.03909422,42.10543818,37.0144141
Armenia,-0.681270892,5.635059717,53.54466411,24.67166344,24.59373945,30.28246063
Armenia,-0.729988508,18.43600024,51.73450644,43.22313799,45.383806,44.19873935
Armenia,-0.698044497,-0.650383578,37.02970772,26.65436594,27.37186669,26.67456615
Armenia,-0.641042615,-23.73927939,-37.09698829,-15.24823586,-3.318823,-25.84541474
Armenia,-0.607328013,44.14086587,1.51990186,8.70424107,4.947750683,7.080847673
Armenia,-0.587755529,24.9113033,-9.098917854,11.32640237,8.322071996,9.522671973
Armenia,-0.496931351,1.546462981,-10.89288589,1.60217348,-3.272646546,-1.816391988
Armenia,-0.447292961,7.736765241,-6.000429107,6.820973943,14.56889704,4.728586239
Armenia,-0.394811444,5.150076226,0.291276432,3.235243617,5.707196479,4.38835024
Armenia,-0.392224033,-5.389488693,-11.45734302,-15.24772617,-1.382472232,-9.097502118
Armenia,-0.443271804,13.44259025,-13.15602975,-1.462060034,2.542634309,-0.068237067
Armenia,-0.485443161,23.79006209,11.76976102,12.45997335,0.079083222,9.30504263
Armenia,-0.53879435,11.3999061,31.40896504,6.830268339,0.773869805,8.071874428
Armenia,-0.56247768,14.75570046,-15.03748752,14.97037839,19.58056495,9.322165424
Armenia,-0.531588647,-33.18519395,4.847248336,-12.69779259,10.58223688,-7.177994688
Armenia,-0.521598171,29.00987014,14.77027929,6.399006705,15.68792417,9.648389486
Aruba,0.066308487,5.330832942,5.330831709,5.330836309,,5.330815411
Aruba,0.066308487,5.330832942,5.330831709,5.330836309,5.330873385,5.330815411
Aruba,0.866536403,5.330823925,5.330784324,5.330834523,5.330824062,5.330815613
Aruba,1.116819675,5.330745251,5.330828817,5.330715066,5.330626818,5.330815449
Aruba,1.144465916,5.330931612,5.330880497,5.330960648,5.33116962,5.330815808
Aruba,0.787284855,5.330794738,5.330647874,5.330826247,5.330665392,5.330815566
Aruba,0.444495285,5.330509566,5.330959545,5.330358578,5.330053465,5.330815576
Aruba,0.44415521,5.331490858,5.331030874,5.33169761,5.332794551,5.33081529
Aruba,0.434092455,5.330382691,5.329948801,5.330421058,5.329148233,5.33081572
Aruba,0.420927007,5.329654343,5.331903498,5.328958035,5.328206063,5.330815313
Aruba,0.557277531,5.334436122,5.331238767,5.335714539,5.341034057,5.33081585
Aruba,0.801737631,5.327058413,5.326707339,5.326590154,5.318207753,5.330815427
Aruba,0.898345903,5.327468867,5.337760454,5.324570126,5.325382347,5.330815613
Aruba,0.771006391,5.348780751,5.329252062,5.355984565,5.379512406,5.330815601
Aruba,0.473712095,5.304929897,5.313108497,5.299222713,5.24976055,5.33081526
Aruba,0.116318744,5.328699997,5.370926229,5.318507276,5.34691272,5.330815743
Aruba,-0.159558812,20.35158166,20.22714731,20.3944289,20.4991095,20.25806439
Aruba,-0.183087665,22.13487173,22.24078613,22.0833473,21.77227377,22.31759668
Aruba,0.410371199,16.6556092,16.81544608,16.6294346,16.92033667,16.5789473
Aruba,1.727661155,10.3563574,9.769043565,10.54524477,10.83871355,10.00752445
Aruba,3.274896518,13.07696578,13.82329582,12.76526982,11.32047933,14.0218879
Aruba,3.430390192,10.68387425,10.99904017,10.72576559,12.69939893,9.898020392
Aruba,3.088671074,14.19929991,11.33525961,15.05107495,15.39538972,12.99126637
Aruba,3.247650636,10.17731576,14.98339925,8.382646758,1.842539275,15.03540159
Aruba,3.132110829,4.75195829,3.80818056,5.814772054,17.99999944,-0.713985744
Aruba,3.072031149,6.679960134,-4.483695627,9.64383989,5.508475164,4.483925574
Aruba,3.073649219,5.747663482,18.06543371,8.771326279,29.91967813,11.01214577
Aruba,3.050404359,4.904993421,13.85542166,7.699887798,1.236476174,8.716265483
Aruba,2.977891056,3.85341193,0.762963,5.941396857,2.894656571,3.448842663
Aruba,2.571747614,-13.91809212,-13.23398962,2.98512292,42.80301751,3.773766551
Aruba,1.784491757,-3.384218194,-4.707932818,6.362629477,17.40219959,1.227918446
Aruba,1.201883318,-5.92465045,14.78783336,7.721821235,3.648761008,3.447828903
Aruba,1.002386115,1.234943604,13.00358777,5.508731561,2.328188799,4.193410629
Aruba,0.905060355,13.71013072,8.665083122,4.962967595,3.278101954,10.30858493
Aruba,1.008124866,10.18352487,21.9882614,6.194323124,4.433065586,4.664919312
Aruba,1.188573606,-0.700329261,8.938922325,6.856276627,2.300220788,4.651041673
Aruba,1.235278121,9.200006956,-0.291600531,9.492763789,4.003526319,8.41614056
Aruba,1.249134698,6.940164257,7.368445161,3.247254576,5.352741082,6.176324532
Aruba,1.240866974,-13.75199036,-17.05907158,-2.924686225,4.980903235,-10.17329499
Aruba,1.137967181,-8.046756337,-8.32822893,1.540595801,2.391053455,-3.923400189
Aruba,0.943781704,24.52897254,4.215975252,8.469226531,1.998566578,7.50989313
Aruba,0.813521839,3.906506189,-14.94032684,-1.542497903,3.364393238,-0.858788113
Aruba,0.752115324,9.222299488,5.652324002,1.970894966,4.368191138,4.30721051
Aruba,0.694012442,4.618031236,-0.75813573,0.203427423,-3.039922386,2.309511863
Aruba,0.639998456,-1.189663338,-1.058411917,0.257616639,-0.541085346,6.165000543
Aruba,0.591806785,-0.727516498,-3.807097651,-0.024471858,1.703435223,0.699713417
Aruba,0.538741728,4.697423176,3.526413863,3.821426777,1.590401729,3.646331664
Aruba,0.496021396,5.334296188,8.709564107,5.001305934,5.970102507,3.549304917
Australia,2.358611015,29.89311398,9.816360458,17.76909326,,17.70020399
Australia,2.358611015,29.89311398,9.816360458,17.76909326,19.32670864,17.70020399
Australia,1.601541859,34.20534315,55.54107624,42.18711544,42.83927222,44.44229352
Australia,1.48053942,29.45899034,4.532283398,27.47263303,38.55876272,18.87728101
Australia,1.264939051,1.013398019,5.168069053,8.13757866,13.57374205,6.862745098
Australia,1.088929141,11.73342075,9.942887716,8.468834259,5.216521905,8.256880734
Australia,1.106227408,-3.699034804,-5.129138693,1.107867824,1.223507442,-1.694915254
Australia,1.144541833,22.52555738,25.86821055,14.58444968,13.59861302,17.24137931
Australia,1.147360923,27.15029134,7.661448449,8.910891089,9.756196584,10.29411765
Australia,1.279533449,4.582749214,22.06603527,16.36363636,19.28366239,15.33333333
Australia,1.521318519,5.781546374,21.1895099,16.40625,16.02673864,16.76300578
Australia,1.59673255,-4.546295286,-19.37048834,0,-0.033476608,-4.95049505
Australia,1.41498354,0.08084359,5.458984356,-2.684563758,-1.604343855,0.520833333
Australia,1.276727749,20.53790774,12.8836455,5.517241379,12.80353003,7.25388601
Australia,1.323574682,-13.29050619,-10.34700688,-10.45751634,-11.02728882,-12.07729469
Australia,1.435585742,8.471742214,0.921697155,5.839416058,4.752731327,4.945054945
Australia,1.54225199,22.53285024,21.39278365,15.17241379,13.15928088,18.84816754
